Date,Change in private inventories,Durable goods,Final sales,Final sales of computers,Final sales of domestic product,Goods,Gross domestic product excluding final sales of computers,Gross domestic product excluding motor vehicle output,Gross domestic product excluding research and development,Motor vehicle output,Nondurable goods,Research and development,Services,Structures
1992-01-01,-1.3575,0.25,1.6666666666666667,0.03,6.68,0.69,4.84,4.66,4.9,0.22,0.45,-0.03,3.19,0.99
1992-04-01,1.0775,2.65,0.7933333333333333,0.36,2.97,2.62,4.05,3.53,4.45,0.88,-0.03,-0.05,1.55,0.23
1992-07-01,-0.1425,1.05,1.2866666666666666,0.22,4.21,1.74,3.79,3.83,4.11,0.18,0.69,-0.1,2.53,-0.25
1992-10-01,0.10250000000000001,1.26,1.0333333333333334,0.11,4.1,1.69,4.13,3.43,4.29,0.81,0.43,-0.05,1.84,0.7
1993-01-01,0.78,1.27,-0.3,0.26,-0.37,0.59,0.41,0.72,0.65,-0.06,-0.68,0.02,0.26,-0.17
1993-04-01,-0.54,1.11,1.4133333333333333,0.02,3.07,1.4,2.33,2.14,2.36,0.21,0.29,-0.02,0.65,0.3
1993-07-01,-1.035,-0.03,0.2733333333333334,0.27,3.3,-0.97,1.65,2.33,1.97,-0.41,-0.94,-0.05,2.22,0.68
1993-10-01,0.6525,2.51,1.62,0.16,4.68,3.31,5.39,4.17,5.67,1.38,0.79,-0.12,1.06,1.19
1994-01-01,1.3725,1.16,0.7933333333333333,0.18,2.11,3.02,3.76,2.97,3.94,0.96,1.86,0.0,1.34,-0.42
1994-04-01,1.5699999999999998,1.06,0.5133333333333333,0.08,3.44,2.87,5.46,6.13,5.48,-0.6,1.81,0.06,1.53,1.14
1994-07-01,-1.245,1.03,1.46,0.18,4.02,0.53,2.18,2.01,2.26,0.35,-0.5,0.09,1.88,-0.05
1994-10-01,0.9299999999999999,2.48,1.7533333333333332,0.35,3.42,3.87,4.31,4.26,4.61,0.41,1.39,0.05,0.85,-0.06
1995-01-01,-0.5275,1.32,0.7933333333333333,0.54,2.13,0.49,0.89,1.63,1.43,-0.21,-0.83,0.0,1.01,-0.07
1995-04-01,-1.08,-0.33,0.4666666666666666,0.45,2.63,-0.73,0.75,1.6,1.07,-0.4,-0.41,0.13,2.11,-0.18
1995-07-01,-0.9975,1.55,1.6733333333333331,0.4,4.78,1.18,3.05,3.62,3.38,-0.18,-0.37,0.07,1.73,0.54
1995-10-01,0.305,1.93,1.21,0.64,2.34,2.22,2.1,1.85,2.55,0.89,0.29,0.19,0.32,0.2
1996-01-01,-0.4325,0.23,0.9666666666666667,0.55,3.61,0.87,2.48,4.48,2.87,-1.45,0.65,0.16,1.53,0.63
1996-04-01,0.9450000000000001,2.35,1.5433333333333332,0.38,5.58,3.57,6.47,5.07,6.72,1.77,1.22,0.12,2.01,1.26
1996-07-01,1.2449999999999999,2.2,0.93,0.43,1.97,3.06,3.21,3.58,3.48,0.06,0.86,0.16,0.28,0.3
1996-10-01,-0.8875,0.34,1.6166666666666665,0.37,5.4,1.24,3.85,4.88,4.04,-0.66,0.9,0.18,2.26,0.72
1997-01-01,0.10500000000000001,2.36,1.08,0.51,2.47,1.76,2.1,2.05,2.45,0.56,-0.6,0.16,0.94,-0.09
1997-04-01,2.355,2.96,0.94,0.53,3.69,4.56,6.29,6.92,6.83,-0.09,1.6,0.0,2.14,0.13
